user_id,touch_index,channel,funnel_position,date,cost,cookies_accepted,has_adblocker,cross_device,ga4_visible,enhanced_visible,is_converting_touch,tracking_cookie,tracking_utm,tracking_fingerprint,tracking_referrer,tracking_server_side,revenue
user_00000,0,direct,bottom_funnel,2026-03-01,0.0,True,False,False,True,True,False,True,False,True,False,True,0.0
user_00001,0,google_search_brand,bottom_funnel,2026-03-07,1.67,True,False,False,True,True,False,True,True,True,False,True,0.0
user_00001,1,meta_facebook_feed,top_funnel,2026-03-07,1.42,True,False,False,True,True,False,True,True,True,False,True,0.0
user_00001,2,google_search_nonbrand,mid_funnel,2026-03-09,3.74,True,False,False,True,True,False,True,True,True,True,True,0.0
user_00002,0,google_search_brand,bottom_funnel,2026-03-06,1.2,True,True,False,True,True,False,True,True,True,False,True,0.0
user_00002,1,google_display_retargeting,mid_funnel,2026-03-10,0.68,True,True,False,True,True,False,True,True,True,False,True,0.0
user_00002,2,google_search_brand,bottom_funnel,2026-03-14,1.54,True,True,False,True,True,False,True,True,False,False,True,0.0
user_00002,3,tiktok_paid,top_funnel,2026-03-18,0.49,True,True,False,True,True,False,True,True,True,False,True,0.0
user_00003,0,google_display_retargeting,mid_funnel,2026-03-06,0.87,False,False,False,True,True,False,False,True,True,True,True,0.0
user_00003,1,meta_facebook_feed,top_funnel,2026-03-10,1.1,False,False,False,True,True,False,False,True,True,True,True,0.0
user_00003,2,google_search_brand,bottom_funnel,2026-03-12,1.62,False,False,False,False,True,False,False,True,True,False,True,0.0
user_00004,0,tiktok_paid,top_funnel,2026-03-06,0.52,True,True,False,True,True,False,True,True,True,False,True,0.0
user_00004,1,organic_search,mid_funnel,2026-03-07,0.0,True,True,False,True,True,False,True,True,True,False,True,0.0
user_00005,0,tiktok_paid,top_funnel,2026-03-05,0.62,True,False,False,True,True,False,True,True,False,True,True,0.0
user_00006,0,google_display_retargeting,mid_funnel,2026-03-01,0.75,False,True,False,False,True,False,False,False,True,False,True,0.0
user_00007,0,google_search_nonbrand,mid_funnel,2026-03-04,3.88,True,False,False,True,True,False,True,True,True,False,True,0.0
user_00007,1,tiktok_paid,top_funnel,2026-03-04,0.68,True,False,False,True,True,False,True,True,True,True,True,0.0
user_00007,2,meta_instagram_stories,top_funnel,2026-03-06,0.78,True,False,False,True,True,False,False,True,True,True,False,0.0
user_00008,0,direct,bottom_funnel,2026-03-06,0.0,False,False,False,False,True,False,False,False,True,False,True,0.0
user_00009,0,organic_search,mid_funnel,2026-03-01,0.0,True,False,True,True,True,False,True,True,True,False,True,0.0
user_00010,0,meta_facebook_feed,top_funnel,2026-03-01,1.24,True,True,False,True,True,False,True,True,True,False,True,0.0
user_00010,1,google_search_brand,bottom_funnel,2026-03-03,1.44,True,True,False,True,True,False,True,True,True,False,False,0.0
user_00010,2,meta_instagram_stories,top_funnel,2026-03-04,0.73,True,True,True,True,True,False,True,True,False,False,False,0.0
user_00010,3,google_search_brand,bottom_funnel,2026-03-07,1.76,True,True,True,True,True,False,True,True,True,False,True,0.0
user_00011,0,google_search_brand,bottom_funnel,2026-03-01,1.56,True,False,False,True,True,False,True,True,True,False,True,0.0
user_00011,1,google_search_nonbrand,mid_funnel,2026-03-02,3.13,True,False,True,True,True,False,True,True,False,True,True,0.0
user_00011,2,google_search_brand,bottom_funnel,2026-03-04,1.69,True,False,True,True,True,False,True,True,True,True,True,0.0
user_00012,0,tiktok_paid,top_funnel,2026-03-05,0.64,False,True,False,False,True,False,False,True,True,False,True,0.0
user_00012,1,google_search_nonbrand,mid_funnel,2026-03-05,3.05,False,True,True,False,True,False,False,True,False,False,True,0.0
user_00013,0,google_display_retargeting,mid_funnel,2026-03-01,0.91,False,False,True,False,True,False,False,True,True,False,True,0.0
user_00014,0,google_search_brand,bottom_funnel,2026-03-05,1.43,True,True,False,True,True,False,True,True,True,False,True,0.0
user_00014,1,meta_instagram_stories,top_funnel,2026-03-09,0.85,True,True,False,True,True,False,True,True,True,False,True,0.0
user_00014,2,meta_instagram_stories,top_funnel,2026-03-12,0.89,True,True,False,True,True,False,True,True,True,False,True,0.0
user_00015,0,google_search_brand,bottom_funnel,2026-03-04,1.28,True,True,False,True,True,False,True,True,True,False,True,0.0
user_00015,1,google_search_brand,bottom_funnel,2026-03-07,1.78,True,True,False,True,True,False,True,True,True,False,True,0.0
user_00016,0,google_search_nonbrand,mid_funnel,2026-03-01,3.45,True,True,False,True,True,False,True,True,True,False,True,0.0
